suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,53,0,0,0,3.81404,1118,15,455.778,2267.11,181,613,1061,1125,1061,0,0,2260709.00,2260762.00,2260735.50,60.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,47,0,0,2.46853,3.96356,1118,15,401.75,2178.88,181,613,1061,1125,1061,0,0,2260863.00,2260910.00,2260886.50,214.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,46,0,0,32.6871,3.87572,1118,15,693.875,666.875,181,613,1061,1125,1061,0,0,2261031.00,2261077.00,2261054.00,382.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,53,0,0,0.783925,3.89753,1118,15,691.667,634.111,181,613,1061,1125,1061,0,0,2261084.00,2261137.00,2261110.50,435.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,73,0,0,0.627724,3.91156,1118,15,702.833,657.917,181,613,1061,1125,1061,0,0,2261158.00,2261231.00,2261194.50,509.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,48,0,0,8.94501,4.00464,1118,15,1080.5,649.875,181,613,1061,1125,1061,0,0,2261251.00,2261299.00,2261275.00,602.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,113,0,0,0.879259,3.74697,1118,15,1115.11,637.278,181,613,1061,1125,1061,0,0,2261339.00,2261452.00,2261395.50,690.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,60,0,0,0.630804,3.53963,1118,15,1112.8,663.6,181,613,1061,1125,1061,0,0,2261493.00,2261553.00,2261523.00,844.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,209,0,0,0.91262,3.34411,1118,15,1102.48,626.788,181,613,1061,1125,1061,0,0,2261686.00,2261895.00,2261790.50,1037.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,74,0,0,7.59992,3.38936,1118,15,783.917,594.333,181,613,1061,1125,1061,0,0,2261961.00,2262035.00,2261998.00,1312.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,94,0,0,0.364703,3.39652,1118,15,773.6,583.067,181,613,1061,1125,1061,0,0,2262042.00,2262136.00,2262089.00,1393.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,47,0,0,9.36951,3.2993,1118,15,1161,665.125,181,613,1061,1125,1061,0,0,2262189.00,2262236.00,2262212.50,1540.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,47,0,0,0.803658,3.27419,1118,15,1168.25,632.25,181,613,1061,1125,1061,0,0,2262330.00,2262377.00,2262353.50,1681.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,94,0,0,8.23633,3.22818,1118,15,829.467,555.4,181,613,1061,1125,1061,0,0,2262410.00,2262504.00,2262457.00,1761.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,60,0,0,1.50771,3.2891,1118,15,766.3,555,181,613,1061,1125,1061,0,0,2262538.00,2262598.00,2262568.00,1889.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,67,1,0,0,3.31216,1146,18,357.909,2114.27,181,613,1061,1125,1061,0,0,2260662.00,2260729.00,2260695.50,13.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,60,1,0,1.41424,3.37934,1146,18,301.5,2132.4,181,613,1061,1125,1061,0,0,2260756.00,2260816.00,2260786.00,107.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,47,1,0,1.86916,3.39327,1146,18,367.75,2090.63,181,613,1061,1125,1061,0,0,2260823.00,2260870.00,2260846.50,174.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,53,1,0,1.18879,3.48361,1146,18,319.778,2104,181,613,1061,1125,1061,0,0,2260877.00,2260930.00,2260903.50,228.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,87,1,0,31.9241,4.15174,1146,18,739.857,669,181,613,1061,1125,1061,0,0,2260984.00,2261071.00,2261027.50,335.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,74,1,0,0.45383,4.15239,1146,18,749.583,652.667,181,613,1061,1125,1061,0,0,2261077.00,2261151.00,2261114.00,428.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,53,1,0,0.6883,4.17168,1146,18,765.222,676.889,181,613,1061,1125,1061,0,0,2261158.00,2261211.00,2261184.50,509.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,74,1,0,9.32436,4.12096,1146,18,1159.08,664.583,181,613,1061,1125,1061,0,0,2261258.00,2261332.00,2261295.00,609.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,107,1,0,0.75204,3.87685,1146,18,1151.53,634,181,613,1061,1125,1061,0,0,2261366.00,2261473.00,2261419.50,717.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,61,1,0,1.33382,3.65829,1146,18,1114.9,591.8,181,613,1061,1125,1061,0,0,2261760.00,2261821.00,2261790.50,1111.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,67,1,0,0.573587,3.59372,1146,18,1109,615.091,181,613,1061,1125,1061,0,0,2261868.00,2261935.00,2261901.50,1219.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,61,1,0,7.18179,3.63261,1146,18,806.6,612.9,181,613,1061,1125,1061,0,0,2262015.00,2262076.00,2262045.50,1366.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,54,1,0,1.01426,3.61854,1146,18,842.889,635,181,613,1061,1125,1061,0,0,2262082.00,2262136.00,2262109.00,1433.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,60,1,0,7.66435,3.55257,1146,18,1165.4,617.9,181,613,1061,1125,1061,0,0,2262163.00,2262223.00,2262193.00,1514.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,46,1,0,0.894854,3.61558,1146,18,1194.63,641.375,181,613,1061,1125,1061,0,0,2262230.00,2262276.00,2262253.00,1581.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,48,1,0,0.47942,3.58703,1146,18,1191.75,661.25,181,613,1061,1125,1061,0,0,2262316.00,2262364.00,2262340.00,1667.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,60,1,0,9.14232,3.5154,1146,18,818.6,561.6,181,613,1061,1125,1061,0,0,2262424.00,2262484.00,2262454.00,1775.00,29
2019_07_13_16_38_07,0,0,0-test-different-0,N/A,N/A,67,1,0,0.371437,3.50943,1146,18,823.455,546.818,181,613,1061,1125,1061,0,0,2262531.00,2262598.00,2262564.50,1882.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,187,0,0,0,3.24336,883,9,967.172,568.069,181,613,869,1125,677,0,0,2263556.00,2263743.00,2263649.50,0.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,54,0,0,7.18681,3.20809,883,9,704.444,417.889,181,613,869,1125,677,0,0,2263770.00,2263824.00,2263797.00,214.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,93,0,0,0.494847,3.18475,883,9,724.733,422.133,181,613,869,1125,677,0,0,2263831.00,2263924.00,2263877.50,275.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,80,0,0,12.2321,3.28678,883,9,1219.85,262.231,181,613,869,1125,677,0,0,2263971.00,2264051.00,2264011.00,415.00,29
