suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,46,0,0,0,3.3846,1127,17,890,313.125,181,613,1061,1125,1061,0,0,1837298.00,1837344.00,1837321.00,27.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,114,0,0,3.49502,3.45155,1127,17,928.5,454.556,181,613,1061,1125,1061,0,0,1837391.00,1837505.00,1837448.00,120.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,54,0,0,1.13848,3.51456,1127,17,885,435,181,613,1061,1125,1061,0,0,1837552.00,1837606.00,1837579.00,281.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,67,0,0,6.60502,3.53934,1127,17,670.091,611.182,181,613,1061,1125,1061,0,0,1837639.00,1837706.00,1837672.50,368.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,54,0,0,30.733,3.84442,1127,17,267.333,1980,181,613,1061,1125,1061,0,0,1837894.00,1837948.00,1837921.00,623.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,74,0,0,2.10124,3.88349,1127,17,280.917,2067,181,613,1061,1125,1061,0,0,1838061.00,1838135.00,1838098.00,790.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,88,0,0,0.786657,3.90978,1127,17,306.429,2046.14,181,613,1061,1125,1061,0,0,1838141.00,1838229.00,1838185.00,870.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,80,0,0,2.89726,3.99616,1127,17,425.538,2069.92,181,613,1061,1125,1061,0,0,1838296.00,1838376.00,1838336.00,1025.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,46,0,0,0.642607,4.08094,1127,17,402.75,2084.25,181,613,1061,1125,1061,0,0,1838383.00,1838429.00,1838406.00,1112.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,48,0,0,1.85158,4.12874,1127,17,325.75,2074.75,181,613,1061,1125,1061,0,0,1838496.00,1838544.00,1838520.00,1225.00,28
