suj,sujnum,oracion,trial,fixn,screenpos,wn,pos,dur,longoracion,ojoDI,pupila,blink,amp_sac,gaze,nf,fixY
2019_05_30_18_20_54,1,0001,0001,1,692.118,0.764706,0.823529,108,6,0,3.04542,0,0,2322,30,458.765
2019_05_30_18_20_54,1,0001,0001,2,857,3,11.1333,94,6,0,2.99762,0,3.98694,2322,30,430.6
2019_05_30_18_20_54,1,0001,0001,3,740.091,1.36364,3.90909,68,6,0,2.95466,0,2.90157,2322,30,397
2019_05_30_18_20_54,1,0001,0001,4,718.556,1,2.66667,53,6,0,2.98521,0,0.736834,2322,30,419.111
2019_05_30_18_20_54,1,0001,0001,5,803.778,2,7.61111,114,6,0,3.01987,0,2.03684,2322,30,414.389
2019_05_30_18_20_54,1,0001,0001,6,806.889,2.11111,8,54,6,0,3.01698,0,0.191399,2322,30,421.778
2019_05_30_18_20_54,1,0001,0001,7,785.308,2,6.61538,81,6,0,3.0118,0,0.554143,2322,30,413.231
2019_05_30_18_20_54,1,0001,0001,8,796.4,2,7.3,61,6,0,2.95602,0,0.814579,2322,30,445.5
2019_05_30_18_20_54,1,0001,0001,9,886.8,3,12.9333,94,6,0,2.93158,0,2.31219,2322,30,410.6
2019_05_30_18_20_54,1,0001,0001,10,891.1,3,13,60,6,0,2.95799,0,0.867871,2322,30,374.5
2019_05_30_18_20_54,1,0001,0001,11,856.75,3,11,47,6,0,2.88611,0,0.923002,2322,30,392.25
2019_05_30_18_20_54,1,0001,0001,12,893.273,3.27273,13.3636,67,6,0,2.85751,0,1.34046,2322,30,434.909
2019_05_30_18_20_54,1,0001,0001,13,1088.1,6.6,25.5,61,6,0,2.90604,0,4.73002,2322,30,396.5
2019_05_30_18_20_54,1,0001,0001,14,1130.63,7,28,46,6,0,2.84152,0,1.05396,2322,30,384.625
2019_05_30_18_20_54,1,0001,0001,15,1103.5,6.66667,26.5,74,6,0,2.88733,0,1.03593,2322,30,418.5
2019_05_30_18_20_54,1,0001,0001,16,1216.3,7,33.6,61,6,0,2.88683,0,2.77025,2322,30,446.1
2019_05_30_18_20_54,1,0001,0001,17,1168.25,7,30.55,128,6,0,2.89944,0,1.31269,2322,30,419.35
2019_05_30_18_20_54,1,0001,0001,18,1694.89,0,0,53,6,0,3.03725,0,14.4032,2322,30,739.556
2019_05_30_18_20_54,1,0001,0001,19,1705.09,0,0,67,6,0,3.03242,0,0.574777,2322,30,761.364
2019_05_30_18_20_54,1,0001,0001,20,1666.06,0,0,107,6,0,3.04148,0,1.08446,2322,30,738.118
2019_05_30_18_20_54,1,0001,0001,21,1653.91,0,0,67,6,0,3.01309,0,0.630026,2322,30,761.545
2019_05_30_18_20_54,1,0001,0001,22,1626.78,0,0,114,6,0,3.06627,0,1.17337,2322,30,720.556
2019_05_30_18_20_54,1,0001,0001,23,1663.92,0,0,73,6,0,3.08699,0,1.08717,2322,30,746.917
2019_05_30_18_20_54,1,0001,0001,24,1639.44,0,0,100,6,0,3.09408,0,0.585744,2322,30,745.25
2019_05_30_18_20_54,1,0001,0001,25,1666.64,0,0,88,6,0,3.07286,0,0.649715,2322,30,746
2019_05_30_18_20_54,1,0001,0001,26,1663.78,0,0,114,6,0,3.05443,0,0.282939,2322,30,757.5
2019_05_30_18_20_54,1,0001,0001,27,1688,0,0,53,6,0,2.99183,0,0.919415,2322,30,727.556
2019_05_30_18_20_54,1,0001,0001,28,1667.09,0,0,67,6,0,3.00431,0,0.604232,2322,30,741.818
2019_05_30_18_20_54,1,0001,0001,29,1630.78,0,0,54,6,0,3.01688,0,1.10993,2322,30,712.778
2019_05_30_18_20_54,1,0001,0001,30,1690.53,0,0,94,6,0,2.98004,0,1.56464,2322,30,739.733
2019_05_30_18_20_54,1,0001,0001,1,673.625,0.125,0.125,47,6,1,3.34009,0,0,2252,33,418.5
2019_05_30_18_20_54,1,0001,0001,2,666.867,0,0,94,6,1,3.37266,0,1.62227,2252,33,486.133
