#IMAGE v2
2 v2
0-test-01-different1 x d
02     12
ff01d5 81007f
279c27 fa8071
00     11
7f8000 fed700
279c27 fa8071
0-test-02-same1 x s
01     12
279c27 fed700
fed700 279c27
00     10
fed700 279c27
279c27 fed700
0-test-03-different2 x d
00     10
fed700 fa8071
7f8000 4682b4
01     12
fed700 fa8071
ff01d5 00e8e8
0-test-04-same2 x s
00     12
ff01d5 81007f
fed700 4682b4
02     12
81007f ff01d5
4682b4 fed700
0-test-05-different3 x d
00     10
7f8000 4682b4
00e8e8 fa8071
01     12
7f8000 4682b4
279c27 fed700
0-test-06-different4 x d
01     11
fa8071 fed700
4682b4 7f8000
00     12
00e8e8 ff01d5
4682b4 7f8000
0-test-07-same3 x s
01     10
ff01d5 ff01d5
00e8e8 fa8071
01     10
ff01d5 ff01d5
fa8071 00e8e8
0-test-08-different5 x d
00     11
fed700 7f8000
279c27 4682b4
02     12
fed700 7f8000
00e8e8 81007f
0-test-09-same4 x s
02     11
7f8000 fed700
00e8e8 00e8e8
01     12
fed700 7f8000
00e8e8 00e8e8
0-test-10-same5 x s
01     10
279c27 00e8e8
4682b4 279c27
02     10
00e8e8 279c27
279c27 4682b4
01-same1 x s
01     12
4682b4 7f8000
ff01d5 fa8071
02     12
7f8000 4682b4
fa8071 ff01d5
02-same2 x s
00     10
4682b4 ff01d5
00e8e8 7f8000
00     10
ff01d5 4682b4
7f8000 00e8e8
03-same3 x s
02     12
fed700 279c27
4682b4 7f8000
02     10
279c27 fed700
7f8000 4682b4
04-different1 x d
01     11
00e8e8 fed700
fed700 81007f
02     10
fa8071 ff01d5
fed700 81007f
05-same4 x s
00     10
fa8071 4682b4
00e8e8 ff01d5
01     12
4682b4 fa8071
ff01d5 00e8e8
06-same5 x s
02     11
fed700 81007f
00e8e8 4682b4
02     11
81007f fed700
4682b4 00e8e8
07-same6 x s
01     10
fa8071 fa8071
ff01d5 00e8e8
01     10
fa8071 fa8071
00e8e8 ff01d5
08-same7 x s
02     12
4682b4 7f8000
81007f fa8071
02     12
7f8000 4682b4
fa8071 81007f
09-different2 x d
01     12
00e8e8 00e8e8
81007f fa8071
00     11
00e8e8 00e8e8
4682b4 fed700
10-different3 x d
00     12
4682b4 81007f
00e8e8 ff01d5
01     11
fed700 7f8000
00e8e8 ff01d5
11-same8 x s
02     11
ff01d5 ff01d5
fed700 4682b4
00     12
ff01d5 ff01d5
4682b4 fed700
12-different4 x d
01     10
7f8000 fa8071
4682b4 fed700
02     12
7f8000 fa8071
00e8e8 ff01d5
13-different5 x d
02     11
ff01d5 ff01d5
00e8e8 81007f
00     12
4682b4 4682b4
00e8e8 81007f
14-same9 x s
02     11
fa8071 81007f
fed700 ff01d5
01     10
81007f fa8071
ff01d5 fed700
15-different6 x d
02     12
279c27 ff01d5
4682b4 279c27
00     11
fed700 fa8071
4682b4 279c27
16-different7 x d
02     11
00e8e8 4682b4
fed700 fa8071
00     12
00e8e8 4682b4
279c27 7f8000
17-same10 x s
02     11
00e8e8 81007f
fa8071 fed700
01     10
81007f 00e8e8
fed700 fa8071
18-same11 x s
01     12
00e8e8 279c27
ff01d5 4682b4
00     12
279c27 00e8e8
4682b4 ff01d5
19-different8 x d
01     12
00e8e8 ff01d5
279c27 4682b4
00     11
81007f 7f8000
279c27 4682b4
20-same12 x s
02     10
7f8000 7f8000
279c27 81007f
01     10
7f8000 7f8000
81007f 279c27
21-same13 x s
00     12
7f8000 ff01d5
00e8e8 4682b4
01     12
ff01d5 7f8000
4682b4 00e8e8
22-same14 x s
01     11
7f8000 00e8e8
81007f ff01d5
01     10
00e8e8 7f8000
ff01d5 81007f
23-same15 x s
02     10
7f8000 fed700
279c27 81007f
01     12
fed700 7f8000
81007f 279c27
24-different9 x d
01     11
279c27 ff01d5
81007f 279c27
02     12
279c27 ff01d5
7f8000 00e8e8
25-different10 x d
00     10
279c27 fed700
7f8000 ff01d5
02     11
81007f 4682b4
7f8000 ff01d5
26-different11 x d
00     12
7f8000 4682b4
ff01d5 81007f
01     10
fa8071 fed700
ff01d5 81007f
27-same16 x s
02     11
fed700 4682b4
ff01d5 81007f
01     11
4682b4 fed700
81007f ff01d5
28-different12 x d
02     11
ff01d5 fa8071
fa8071 fed700
01     10
ff01d5 fa8071
7f8000 81007f
29-different13 x d
01     10
ff01d5 fed700
279c27 81007f
00     11
ff01d5 fed700
00e8e8 7f8000
30-different14 x d
01     10
fed700 fa8071
ff01d5 7f8000
01     12
4682b4 279c27
ff01d5 7f8000
31-different15 x d
00     10
81007f 4682b4
fed700 7f8000
02     12
00e8e8 279c27
fed700 7f8000
32-different16 x d
01     11
00e8e8 ff01d5
ff01d5 279c27
00     10
00e8e8 ff01d5
fa8071 81007f

#IMAGE
1366 768
0-test-01-different1 0 
3902504 969 476 981 545 3.05309 2.50823 
3902511 969 476 981 545 3.10336 2.53708 
