4
0-test-same-0 x s
12     00     20     22     
7f8000 992a1b b49299 ff01d5 
279c27 81007f fa8071 4682b4 
02     21     11     01     
7f8000 992a1b b49299 ff01d5 
279c27 81007f fa8071 4682b4 
0-test-different-1 x d
02     10     01     20     
ff01d5 81007f 00e8e8 fa8071 
992a1b fed700 279c27 4682b4 
22     12     00     11     
ff01d5 81007f b49299 7f8000 
992a1b fed700 279c27 4682b4 
0-test-different-2 x d
22     02     21     00     
fed700 7f8000 fa8071 b49299 
81007f 279c27 4682b4 992a1b 
12     10     20     11     
00e8e8 ff01d5 fa8071 b49299 
81007f 279c27 4682b4 992a1b 
0-test-different-3 x d
00     12     22     02     
279c27 7f8000 81007f 4682b4 
ff01d5 b49299 00e8e8 fed700 
20     01     11     10     
279c27 992a1b 81007f fa8071 
ff01d5 b49299 00e8e8 fed700 
0-test-same-4 x s
10     12     00     22     
fa8071 7f8000 fed700 00e8e8 
ff01d5 279c27 992a1b b49299 
11     01     02     20     
fa8071 7f8000 fed700 00e8e8 
ff01d5 279c27 992a1b b49299 
0-test-different-5 x d
20     01     00     10     
b49299 992a1b fa8071 279c27 
7f8000 fed700 00e8e8 4682b4 
02     22     21     12     
81007f 992a1b fa8071 ff01d5 
7f8000 fed700 00e8e8 4682b4 
0-test-same-6 x s
22     12     21     11     
81007f ff01d5 7f8000 fed700 
b49299 992a1b 00e8e8 4682b4 
10     01     00     02     
81007f ff01d5 7f8000 fed700 
b49299 992a1b 00e8e8 4682b4 
0-test-different-7 x d
11     12     00     21     
7f8000 ff01d5 4682b4 279c27 
b49299 992a1b 00e8e8 fa8071 
10     20     22     01     
81007f ff01d5 4682b4 fed700 
b49299 992a1b 00e8e8 fa8071 
0-test-different-8 x d
22     20     00     10     
fed700 81007f b49299 00e8e8 
992a1b 7f8000 279c27 4682b4 
21     12     01     02     
ff01d5 81007f fa8071 00e8e8 
992a1b 7f8000 279c27 4682b4 
0-test-same-9 x s
01     11     22     21     
ff01d5 fed700 7f8000 4682b4 
b49299 81007f fa8071 992a1b 
20     00     02     12     
ff01d5 fed700 7f8000 4682b4 
b49299 81007f fa8071 992a1b 
01-trial-different-10 x d
20     01     11     10     
7f8000 00e8e8 fa8071 279c27 
b49299 81007f ff01d5 fed700 
21     22     00     02     
7f8000 4682b4 fa8071 992a1b 
b49299 81007f ff01d5 fed700 
02-trial-same-11 x s
01     22     00     21     
992a1b b49299 81007f 7f8000 
279c27 4682b4 fa8071 ff01d5 
20     11     12     02     
992a1b b49299 81007f 7f8000 
279c27 4682b4 fa8071 ff01d5 
03-trial-same-12 x s
20     10     22     11     
81007f fa8071 7f8000 00e8e8 
4682b4 992a1b b49299 fed700 
02     01     12     00     
81007f fa8071 7f8000 00e8e8 
4682b4 992a1b b49299 fed700 
04-trial-same-13 x s
02     11     20     21     
992a1b fa8071 4682b4 ff01d5 
00e8e8 fed700 b49299 7f8000 
01     22     10     00     
992a1b fa8071 4682b4 ff01d5 
00e8e8 fed700 b49299 7f8000 
05-trial-same-14 x s
12     00     01     11     
ff01d5 4682b4 00e8e8 81007f 
279c27 7f8000 992a1b fa8071 
10     21     20     02     
ff01d5 4682b4 00e8e8 81007f 
279c27 7f8000 992a1b fa8071 
06-trial-same-15 x s
11     12     21     02     
4682b4 fed700 7f8000 fa8071 
b49299 ff01d5 279c27 81007f 
20     00     22     01     
4682b4 fed700 7f8000 fa8071 
b49299 ff01d5 279c27 81007f 
07-trial-different-16 x d
01     10     00     02     
279c27 ff01d5 7f8000 4682b4 
81007f fed700 b49299 fa8071 
20     22     21     12     
00e8e8 ff01d5 7f8000 992a1b 
81007f fed700 b49299 fa8071 
08-trial-different-17 x d
01     00     02     11     
279c27 ff01d5 b49299 81007f 
00e8e8 fa8071 992a1b 7f8000 
12     21     10     22     
279c27 ff01d5 fed700 4682b4 
00e8e8 fa8071 992a1b 7f8000 
09-trial-same-18 x s
22     02     21     12     
7f8000 fa8071 4682b4 fed700 
992a1b 81007f b49299 00e8e8 
20     10     00     01     
7f8000 fa8071 4682b4 fed700 
992a1b 81007f b49299 00e8e8 
10-trial-same-19 x s
12     20     22     21     
fed700 279c27 992a1b 7f8000 
ff01d5 81007f 4682b4 b49299 
11     01     10     02     
fed700 279c27 992a1b 7f8000 
ff01d5 81007f 4682b4 b49299 
11-trial-same-20 x s
00     11     01     02     
4682b4 7f8000 81007f ff01d5 
992a1b fed700 279c27 fa8071 
22     20     10     12     
4682b4 7f8000 81007f ff01d5 
992a1b fed700 279c27 fa8071 
12-trial-different-21 x d
20     10     21     00     
4682b4 b49299 7f8000 81007f 
00e8e8 ff01d5 279c27 fed700 
01     02     22     12     
4682b4 fa8071 7f8000 992a1b 
00e8e8 ff01d5 279c27 fed700 
13-trial-different-22 x d
20     01     00     12     
4682b4 279c27 7f8000 81007f 
b49299 ff01d5 fed700 00e8e8 
10     22     21     11     
fa8071 992a1b 7f8000 81007f 
b49299 ff01d5 fed700 00e8e8 
14-trial-different-23 x d
11     01     12     00     
4682b4 279c27 992a1b 81007f 
fed700 ff01d5 7f8000 b49299 
20     21     02     10     
4682b4 279c27 00e8e8 fa8071 
fed700 ff01d5 7f8000 b49299 
15-trial-different-24 x d
12     01     02     00     
ff01d5 fed700 fa8071 992a1b 
81007f 00e8e8 4682b4 7f8000 
22     21     11     20     
279c27 fed700 fa8071 b49299 
81007f 00e8e8 4682b4 7f8000 
16-trial-different-25 x d
02     00     22     10     
4682b4 00e8e8 81007f 7f8000 
fa8071 ff01d5 279c27 b49299 
01     12     20     11     
fed700 00e8e8 81007f 992a1b 
fa8071 ff01d5 279c27 b49299 
17-trial-different-26 x d
12     11     01     21     
279c27 b49299 fa8071 ff01d5 
fed700 00e8e8 7f8000 992a1b 
00     20     22     02     
4682b4 b49299 fa8071 81007f 
fed700 00e8e8 7f8000 992a1b 
18-trial-same-27 x s
21     01     20     11     
00e8e8 992a1b 7f8000 fa8071 
4682b4 ff01d5 b49299 81007f 
10     02     12     00     
00e8e8 992a1b 7f8000 fa8071 
4682b4 ff01d5 b49299 81007f 
19-trial-different-28 x d
01     02     22     11     
279c27 fed700 7f8000 81007f 
992a1b b49299 4682b4 00e8e8 
10     00     20     12     
fa8071 ff01d5 7f8000 81007f 
992a1b b49299 4682b4 00e8e8 
20-trial-different-29 x d
02     21     22     11     
fa8071 992a1b 279c27 81007f 
4682b4 b49299 7f8000 ff01d5 
01     00     10     20     
00e8e8 fed700 279c27 81007f 
4682b4 b49299 7f8000 ff01d5 
21-trial-different-30 x d
01     22     11     10     
4682b4 81007f 00e8e8 b49299 
fa8071 fed700 279c27 7f8000 
20     00     12     21     
ff01d5 81007f 00e8e8 992a1b 
fa8071 fed700 279c27 7f8000 
22-trial-same-31 x s
20     12     00     10     
b49299 00e8e8 992a1b fa8071 
7f8000 fed700 ff01d5 279c27 
22     01     21     11     
b49299 00e8e8 992a1b fa8071 
7f8000 fed700 ff01d5 279c27 
23-trial-same-32 x s
12     20     11     02     
ff01d5 fed700 00e8e8 279c27 
992a1b b49299 7f8000 fa8071 
21     22     10     00     
ff01d5 fed700 00e8e8 279c27 
992a1b b49299 7f8000 fa8071 
24-trial-different-33 x d
20     12     01     11     
81007f ff01d5 992a1b fa8071 
b49299 fed700 279c27 00e8e8 
00     21     02     10     
81007f ff01d5 7f8000 4682b4 
b49299 fed700 279c27 00e8e8 
25-trial-same-34 x s
10     00     22     20     
992a1b 279c27 fa8071 ff01d5 
7f8000 fed700 4682b4 b49299 
01     12     02     11     
992a1b 279c27 fa8071 ff01d5 
7f8000 fed700 4682b4 b49299 
26-trial-different-35 x d
11     20     10     01     
81007f 992a1b ff01d5 4682b4 
fa8071 fed700 00e8e8 279c27 
12     21     00     22     
b49299 992a1b 7f8000 4682b4 
fa8071 fed700 00e8e8 279c27 
27-trial-different-36 x d
00     22     02     12     
4682b4 b49299 00e8e8 992a1b 
fed700 81007f ff01d5 7f8000 
20     21     01     10     
4682b4 fa8071 00e8e8 279c27 
fed700 81007f ff01d5 7f8000 
28-trial-different-37 x d
00     10     12     21     
00e8e8 7f8000 fed700 ff01d5 
4682b4 b49299 81007f 992a1b 
22     01     11     20     
00e8e8 fa8071 fed700 279c27 
4682b4 b49299 81007f 992a1b 
29-trial-different-38 x d
12     20     10     02     
279c27 00e8e8 ff01d5 81007f 
b49299 fed700 992a1b fa8071 
11     22     01     00     
279c27 4682b4 7f8000 81007f 
b49299 fed700 992a1b fa8071 
30-trial-same-39 x s
10     21     00     12     
b49299 992a1b 4682b4 fed700 
279c27 ff01d5 fa8071 81007f 
11     01     20     02     
b49299 992a1b 4682b4 fed700 
279c27 ff01d5 fa8071 81007f 
31-trial-same-40 x s
00     12     02     22     
b49299 ff01d5 7f8000 81007f 
00e8e8 992a1b 279c27 fa8071 
01     10     21     20     
b49299 ff01d5 7f8000 81007f 
00e8e8 992a1b 279c27 fa8071 
32-trial-different-41 x d
12     10     22     20     
ff01d5 fa8071 81007f fed700 
b49299 00e8e8 7f8000 279c27 
00     21     11     01     
992a1b 4682b4 81007f fed700 
b49299 00e8e8 7f8000 279c27 
