suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,score
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,53,0,0,0,3.81404,1118,15,455.778,2267.11,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,47,0,0,2.46853,3.96356,1118,15,401.75,2178.88,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,46,0,0,32.6871,3.87572,1118,15,693.875,666.875,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,53,0,0,0.783925,3.89753,1118,15,691.667,634.111,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,73,0,0,0.627724,3.91156,1118,15,702.833,657.917,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,48,0,0,8.94501,4.00464,1118,15,1080.5,649.875,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,113,0,0,0.879259,3.74697,1118,15,1115.11,637.278,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,60,0,0,0.630804,3.53963,1118,15,1112.8,663.6,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,209,0,0,0.91262,3.34411,1118,15,1102.48,626.788,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,74,0,0,7.59992,3.38936,1118,15,783.917,594.333,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,94,0,0,0.364703,3.39652,1118,15,773.6,583.067,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,47,0,0,9.36951,3.2993,1118,15,1161,665.125,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,47,0,0,0.803658,3.27419,1118,15,1168.25,632.25,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,94,0,0,8.23633,3.22818,1118,15,829.467,555.4,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,60,0,0,1.50771,3.2891,1118,15,766.3,555,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,67,1,0,0,3.31216,1146,18,357.909,2114.27,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,60,1,0,1.41424,3.37934,1146,18,301.5,2132.4,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,47,1,0,1.86916,3.39327,1146,18,367.75,2090.63,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,53,1,0,1.18879,3.48361,1146,18,319.778,2104,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,87,1,0,31.9241,4.15174,1146,18,739.857,669,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,74,1,0,0.45383,4.15239,1146,18,749.583,652.667,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,53,1,0,0.6883,4.17168,1146,18,765.222,676.889,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,74,1,0,9.32436,4.12096,1146,18,1159.08,664.583,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,107,1,0,0.75204,3.87685,1146,18,1151.53,634,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,61,1,0,1.33382,3.65829,1146,18,1114.9,591.8,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,67,1,0,0.573587,3.59372,1146,18,1109,615.091,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,61,1,0,7.18179,3.63261,1146,18,806.6,612.9,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,54,1,0,1.01426,3.61854,1146,18,842.889,635,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,60,1,0,7.66435,3.55257,1146,18,1165.4,617.9,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,46,1,0,0.894854,3.61558,1146,18,1194.63,641.375,181,613,1061,1125,1061,0,0,29
2019_04_01_19_40_15,0,0,0-test-different-0,N/A,N/A,48,1,0,0.47942,3.58703,1146,18,1191.75,661.25,181,613,1061,1125,1061,0,0,29
